Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
51.0,79560.01934117149,23672.65917113811,437.06248921995575,77.35213720224614,2.0,24.922533917294942,23.999999991618097,0.6999999999534339,Bachelor's,Part-time,Married,No,No,Auto,Yes,0
52.0,147943.84405582628,7665.982660675883,419.6705571538002,60.14519278196273,3.0,17.368436144576044,12.0,0.36999999998835853,Bachelor's,Part-time,Married,No,No,Auto,No,0
19.0,92163.7021088851,215909.4318068841,834.2404574649968,36.54683102051421,2.0,14.790263587732396,23.999999991618097,0.3999999998835847,High School,Part-time,Single,Yes,No,Home,No,0
63.4,121586.56916708815,21753.28018086806,670.0455950610445,92.29880487110903,2.0,17.641354166751576,23.999999991618097,0.7599999999301508,High School,Part-time,Married,Yes,No,Education,No,0
18.4,88369.49045763712,243823.2984492423,707.8260100360089,69.98723980574572,1.0,19.90822106135269,60.0,0.8700000001047739,Bachelor's,Part-time,Single,Yes,No,Education,No,1
43.8,143098.23559897888,56083.29516650255,545.2519960019858,2.858140961234025,3.0,20.51364166576733,60.0,0.2699999999650754,Bachelor's,Part-time,Single,Yes,No,Home,No,1
18.2,148257.27201340726,188203.01740817796,545.271009825466,14.711657253958204,4.0,19.592551858530513,60.0,0.2699999999650754,Bachelor's,Unemployed,Single,Yes,No,Other,No,1
44.0,54166.19329618737,44748.848176055784,400.0607997977782,77.36471965707948,1.0,10.454143949245138,60.0,0.6699999996856787,High School,Part-time,Married,Yes,No,Other,No,0
33.0,143746.59609351994,38616.48766894277,520.4666865040704,78.06109159790469,1.0,21.590705304779277,35.999999994412065,0.4999999999068677,Bachelor's,Unemployed,Married,No,No,Auto,No,0
65.8,104337.79172704504,30908.56483962121,356.6510180280663,84.96758520206612,4.0,21.873350991919487,60.0,0.6699999996856787,Bachelor's,Self-employed,Married,Yes,Yes,Education,Yes,0
45.0,143041.5371026412,115588.26245610329,565.7591742537355,77.34293010629315,1.0,20.51363018406174,23.999999991618097,0.2999999998603016,High School,Part-time,Married,Yes,No,Business,Yes,0
33.8,108567.1511217391,85835.40828865845,817.0881674492471,59.47681644849405,1.0,20.57054931300938,60.0,0.3799999999534339,Master's,Part-time,Single,Yes,Yes,Home,No,0
33.0,146885.5538406653,27403.00604149769,796.0261053675846,33.4383019289091,4.0,17.427331834420876,60.0,0.370000000174623,Bachelor's,Unemployed,Single,No,No,Auto,Yes,1
53.2,100617.5052138794,25642.453765757953,698.3349953862687,17.725806851574642,3.0,14.767800083055116,23.999999991618097,0.4999999999068677,High School,Part-time,Married,Yes,Yes,Home,No,0
32.8,28271.89383195245,213150.53428370287,795.4732118855401,21.754590924539276,4.0,14.834223072029237,23.999999991618097,0.7200000002561138,Bachelor's,Part-time,Single,Yes,No,Auto,No,1
61.8,46345.52942349587,30849.214144295365,631.1510096555928,28.845018978893066,4.0,16.302811303297716,23.999999991618097,0.8800000000698492,Bachelor's,Part-time,Single,Yes,No,,No,1
68.0,140319.46728482086,16428.828373194865,373.7087061232209,70.49518033664096,4.0,20.782376016711908,60.0,0.47000000001164155,Bachelor's,Unemployed,Married,No,Yes,Education,No,0
34.400000000000006,19439.97773146722,242359.95352825147,699.1054670862168,36.49962054879862,4.0,19.83031855072135,47.99999999720603,0.46999999963911254,High School,Part-time,Single,Yes,No,Home,No,1
37.4,139943.6075836971,24087.531947430114,560.733154105659,62.379870208068716,1.0,20.52507568882431,23.999999991618097,0.27999999974388634,High School,Self-employed,Married,Yes,No,Home,No,1
63.4,72317.58122915322,184375.5172361842,544.701368712052,74.21168918609891,3.0,19.547649525475606,60.0,0.47000000001164155,Bachelor's,Unemployed,Single,Yes,No,Auto,No,0
21.0,112121.87048099234,208308.38797817667,817.0734053084332,44.49275431723631,1.0,20.670187522003005,60.0,0.3999999998835847,Master's,Unemployed,Single,Yes,No,Home,No,0
49.400000000000006,95254.35897672371,215782.34570523314,817.0331918706729,34.68473243706038,1.0,14.87912551213967,47.99999999720603,0.7700000002677553,High School,Part-time,Single,Yes,No,Education,No,0
26.6,143783.0213513316,172877.83244957167,546.3351601591182,63.17338013653023,4.0,21.523351960427448,60.0,0.4999999999068677,Bachelor's,Unemployed,Married,No,No,Other,No,0
63.199999999999996,71383.84417540274,54352.92949294507,331.90506426871406,84.80414960691802,3.0,10.562186659675135,35.999999994412065,0.6699999996856787,High School,Part-time,Married,No,No,Auto,Yes,0
45.0,79560.01934117149,23672.659114103917,574.3041120488904,84.8041635711687,4.0,24.922533917294942,23.999999991618097,0.8599999999534339,Bachelor's,Part-time,Single,No,No,Auto,Yes,0
45.0,96441.14121102756,215901.95622094485,782.7583559781216,35.617172113763445,1.0,14.790022413034464,23.999999991618097,0.370000000174623,PhD,Part-time,Single,Yes,No,Home,No,0
60.199999999999996,71120.24490506185,61469.262858626724,434.90954791566116,66.26386497804519,4.0,22.05299334006454,23.999999991618097,0.9,Bachelor's,Part-time,Married,Yes,No,Auto,No,0
65.8,140060.48782887578,168826.30583997496,424.6162576707118,73.70142216670826,4.0,22.063496360057847,47.99999999720603,0.9,Bachelor's,Part-time,Single,Yes,No,Education,No,0
21.0,45799.763602727966,144747.71940407986,642.6588351977194,21.52367272775706,2.0,16.30269002544058,23.999999991618097,0.7100000001047738,Master's,Part-time,Single,No,No,Auto,No,1
19.6,47252.092287066414,14725.333961128568,419.7951679368958,19.66435438782544,4.0,18.670565744927288,12.0,0.32000000016298147,Bachelor's,Part-time,Single,No,No,Auto,No,1
21.0,96272.26348710137,88530.98724760371,681.5591486533077,31.08230705491321,4.0,17.809177461273315,60.0,0.2999999998603016,High School,Part-time,Single,No,No,Auto,Yes,1
67.6,105395.34190581909,29473.939829467316,699.3738203296377,70.02619430213845,3.0,20.604885479366615,23.999999991618097,0.8700000001047739,Bachelor's,Part-time,Married,Yes,Yes,Education,No,0
