Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
20.0,16486.072730915406,100231.71256885672,333.5259614674202,77.30342939712652,2.0,13.32666274708618,23.999999991618097,0.6099999998952261,High School,Self-employed,Married,No,Yes,Other,Yes,0
22.4,16513.730840596076,244332.22152478344,734.1556927080163,28.39998581805266,4.0,8.451821664309087,35.999999994412065,0.539999999953434,PhD,Self-employed,Divorced,Yes,No,Home,No,1
30.0,39680.14239126656,198401.98060165203,462.8812193893551,88.02218308300296,4.0,10.379994147103279,23.999999991618097,0.6200000000465662,Master's,Self-employed,Divorced,No,No,Home,No,1
23.6,20419.70593016611,68685.61366912108,471.3419169348995,76.83858198971454,4.0,10.46002055380494,23.999999991618097,0.8099999999417923,PhD,Part-time,Divorced,No,No,Business,No,0
23.6,45734.979260602035,68663.18594172205,471.40527316774364,77.29752445856518,4.0,4.796646688158308,23.999999991618097,0.8099999999417923,PhD,Part-time,Married,No,No,Other,No,1
67.0,28882.62594782436,25852.911939596037,604.2892603809687,83.23535658820424,3.0,19.204708793541585,23.999999991618097,0.8399999992782251,PhD,Part-time,Divorced,No,Yes,Auto,No,0
66.0,111064.85120266929,29828.8920817964,621.0770757885364,60.74929967679766,3.0,3.9230452901807253,12.0,0.2999999998603016,High School,Full-time,Married,Yes,Yes,Other,No,0
51.0,46670.02835559379,16008.900371074888,366.02273144899465,60.56135139115186,3.0,12.877436107380186,12.0,0.7199999998835848,Bachelor's,Part-time,Married,No,No,Other,Yes,1
59.6,111351.24141909118,185081.6236627292,540.3896110556996,29.989779241147865,4.0,6.706631415967511,60.0,0.18000000027939678,Bachelor's,Unemployed,Single,Yes,Yes,Home,No,0
18.4,83846.83634379876,249265.52512707782,540.5939317493685,65.13269678040703,2.0,19.8732030904417,60.0,0.6700000000582077,High School,Full-time,Single,Yes,No,Education,No,1
39.400000000000006,62671.73515473603,132062.205007901,603.5292510773356,34.544064084194616,3.0,18.654259207184488,23.999999991618097,0.14999999982537704,High School,Part-time,Divorced,No,No,Auto,Yes,1
64.6,122283.75129098765,24956.130790253203,765.6835248918933,38.3526970903279,2.0,14.761788636702528,23.999999991618097,0.6800000000232831,PhD,Self-employed,Married,Yes,Yes,Education,Yes,0
23.6,16201.862179184067,68670.66244020841,741.0125372379582,106.58495040484354,4.0,11.896895554139489,23.999999991618097,0.8099999999417923,PhD,Part-time,Divorced,No,No,Business,No,1
27.0,142149.28070835705,26025.581024229894,688.2898501735856,32.95212609575878,2.0,17.61536065585105,47.99999999720603,0.16999999975552782,High School,Part-time,Single,No,Yes,Other,Yes,0
18.0,92308.39721356389,186218.36443631406,335.79105940456293,30.948519337211856,2.0,17.885933696228534,60.0,0.17000000012805686,High School,Unemployed,Single,Yes,Yes,Other,No,1
44.199999999999996,145014.6476097621,65343.16394098642,519.7968459282529,91.75944785162793,1.0,8.479210124823547,60.0,0.6700000000582077,Bachelor's,Unemployed,Married,Yes,No,Other,Yes,0
38.8,21039.067582408912,5522.588696675978,608.572021285438,27.56684745186168,3.0,19.047155212896676,23.999999991618097,0.8199999997206032,Master's,Part-time,Divorced,No,Yes,Other,Yes,0
20.0,83099.85277846777,236527.1594812738,703.5284699901306,60.70419725279888,2.0,24.172164787559808,47.99999999720603,0.32000000016298147,High School,Full-time,Single,Yes,Yes,Education,No,0
51.2,54136.320545362854,144577.18596485842,637.0567712308971,69.81827145810664,2.0,6.253670144098268,47.99999999720603,0.6699999996856787,High School,Part-time,Married,Yes,No,Other,No,0
